"FoodID","PyramidCategoryOrder","PyramidCategoryID","HighFat","HighSugar","PyramidValue"
392,3,72,,,0.97
392,4,77,,,157.00
393,1,1,1,0,1.58
393,2,12,0,0,4.00
393,3,72,,,1.58
393,4,77,,,112.00
397,1,1,1,0,1.54
397,2,12,0,0,3.87
397,3,72,,,1.54
397,4,77,,,128.00
398,1,14,0,0,2.00
398,2,17,0,0,0.50
398,3,19,0,0,0.66
398,4,71,,,0.25
398,5,72,,,2.00
398,6,74,,,1.98
398,7,77,,,21.00
402,1,14,0,0,0.96
402,2,19,0,0,0.61
402,3,20,1,0,0.85
402,4,72,,,0.96
402,5,74,,,1.84
402,6,75,,,0.85
402,7,77,,,32.00
404,1,14,0,0,2.50
404,2,17,0,0,0.50
404,3,19,0,0,0.50
404,4,71,,,0.25
404,5,72,,,2.50
404,6,74,,,1.50
405,1,1,1,0,1.21
405,2,72,,,1.21
405,3,77,,,217.00
407,1,1,1,0,2.29
407,2,12,0,0,5.77
407,3,72,,,2.29
407,4,77,,,150.00
408,1,5,0,0,1.03
408,2,23,0,0,0.23
408,3,71,,,0.51
408,4,74,,,0.71
408,5,77,,,33.00
411,1,1,0,0,0.88
411,2,72,,,0.88
411,3,77,,,115.00
413,1,1,1,0,1.00
413,2,72,,,1.00
413,3,77,,,146.00
414,1,1,1,0,1.00
414,2,72,,,1.00
414,3,77,,,130.00
417,1,1,0,0,1.12
417,2,72,,,1.12
417,3,77,,,21.00
418,1,1,0,0,0.98
418,2,72,,,0.98
418,3,77,,,37.00
419,1,1,0,0,0.84
419,2,72,,,0.84
419,3,77,,,29.00
422,1,1,1,0,1.05
422,2,72,,,1.05
422,3,77,,,56.00
423,1,1,0,0,0.98
423,2,72,,,0.98
423,3,77,,,44.00
430,1,1,0,0,0.98
430,2,77,,,16.56
430,3,72,,,0.98
432,1,1,0,0,0.52
432,2,77,,,10.56
432,3,72,,,0.52
433,1,14,0,0,2.25
433,2,20,1,0,1.92
433,3,21,0,0,7.80
433,4,72,,,2.25
433,5,75,,,1.92
433,6,77,,,275.00
